id,sentiment,airline_id,aircraft_type,customer_id,class_id
SENT_185,Dissatisfied,CP,Embraer ERJ-170,8864,F_CLASS
SENT_186,Satisfied,CP,Embraer ERJ-170,12396,BUS
SENT_187,Neutral,F9,Boeing 737,757,BUS
SENT_188,Satisfied,NK,McDonnell Douglas MD-80,315,ECO_P
SENT_189,Satisfied,C5,Airbus A321,10520,F_CLASS
SENT_190,Satisfied,NK,Airbus A319,3572,ECO
SENT_191,Dissatisfied,QX,Embraer E175,7923,ECO_P
SENT_192,Neutral,CP,Canadair CRJ-100 Series,7000,ECO_P
SENT_193,Satisfied,9K,Airbus A330,5549,BUS
SENT_194,Satisfied,OO,Embraer EMB-120 Brasilia,167,ECO_P
SENT_195,Satisfied,MQ,Embraer ERJ-170,14397,ECO
SENT_196,Satisfied,G7,Canadair CRJ-700,11401,ECO
SENT_197,Satisfied,AA,Boeing 757,8377,BUS
SENT_198,Satisfied,UA,Airbus A350,5930,ECO_P
SENT_199,Satisfied,EM,Antonov An-124,9064,ECO_P
SENT_200,Dissatisfied,NK,McDonnell Douglas MD-80,13935,F_CLASS
SENT_201,Neutral,QX,Canadair CRJ-700,11303,ECO
SENT_202,Dissatisfied,9E,Canadair CRJ-100 Series,998,F_CLASS
SENT_203,Neutral,AA,Boeing 777,14378,ECO
SENT_204,Neutral,QX,Canadair CRJ-700,8540,BUS
SENT_205,Dissatisfied,G7,Canadair CRJ-700,8556,ECO_P
SENT_206,Dissatisfied,AX,Boeing 767,88,F_CLASS
SENT_207,Satisfied,EV,ATR 42/72,10462,ECO_P
SENT_208,Neutral,CP,Embraer ERJ-170,782,F_CLASS
SENT_209,Satisfied,AS,Embraer ERJ-170,5369,ECO
SENT_210,Neutral,AX,Boeing 767,9271,ECO
SENT_211,Satisfied,HA,McDonnell Douglas MD-80,13954,F_CLASS
SENT_212,Dissatisfied,UA,Boeing 747,1624,BUS
SENT_213,Neutral,CP,Canadair CRJ-100 Series,2087,ECO
SENT_214,Neutral,HA,McDonnell Douglas DC-8,12700,ECO_P
SENT_215,Dissatisfied,C5,Boeing 737,11734,ECO_P
SENT_216,Satisfied,UA,Airbus A350,13448,ECO
SENT_217,Dissatisfied,KS,Airbus A320,12605,F_CLASS
SENT_218,Neutral,AA,Boeing 787 Dreamliner,14136,BUS
SENT_219,Dissatisfied,MQ,Embraer ERJ-170,159,F_CLASS
SENT_220,Neutral,MQ,Embraer ERJ-170,8489,BUS
SENT_221,Neutral,DL,McDonnell Douglas DC-8,12374,ECO_P
SENT_222,Neutral,AS,Embraer ERJ-170,5756,ECO_P
SENT_223,Neutral,QX,Canadair CRJ-700,14406,F_CLASS
SENT_224,Neutral,AS,Embraer ERJ-170,1133,ECO
SENT_225,Neutral,9E,Canadair CRJ-900,13848,BUS
SENT_226,Neutral,C5,Airbus A321,6033,F_CLASS
SENT_227,Dissatisfied,B6,Airbus A320,7077,ECO_P
SENT_228,Neutral,AA,Boeing 717,663,ECO_P
SENT_229,Satisfied,9K,Embraer ERJ-170,7821,ECO
SENT_230,Neutral,UA,Boeing 757,14235,BUS
SENT_231,Satisfied,EV,ATR 42/72,409,ECO_P
SENT_232,Satisfied,NK,Airbus A319,1963,BUS
SENT_233,Neutral,OH,Airbus A300,4957,BUS
SENT_234,Satisfied,G7,Embraer EMB-120 Brasilia,14441,ECO_P
SENT_235,Satisfied,OO,Embraer E175-E2,168,ECO
SENT_236,Neutral,MQ,Embraer ERJ-170,3135,F_CLASS
SENT_237,Neutral,C5,Airbus A321,10785,ECO
SENT_238,Satisfied,HA,Boeing 767,11058,F_CLASS
SENT_239,Satisfied,VX,Airbus A320,13523,F_CLASS
SENT_240,Satisfied,KS,Airbus A310,3526,ECO
SENT_241,Satisfied,UA,Boeing 787 Dreamliner,6989,F_CLASS
SENT_242,Neutral,F9,Airbus A318,14561,BUS
SENT_243,Neutral,G4,Airbus A320,5341,F_CLASS
SENT_244,Dissatisfied,9K,Airbus A350 XWB,9148,ECO
SENT_245,Dissatisfied,9K,Airbus A350 XWB,10100,ECO
SENT_246,Neutral,EV,ATR 42/72,12002,ECO_P
SENT_247,Neutral,CP,Canadair CRJ-100 Series,1463,BUS
SENT_248,Dissatisfied,CP,Embraer ERJ-170,4473,ECO
SENT_249,Neutral,UA,McDonnell Douglas DC-8,6107,F_CLASS
SENT_250,Neutral,9E,Canadair CRJ-100 Series,10452,BUS
SENT_251,Neutral,G7,Canadair CRJ-700,9296,BUS
SENT_252,Dissatisfied,C5,Airbus A321,93,BUS
SENT_253,Dissatisfied,G7,Canadair CRJ-900,7424,ECO
SENT_254,Dissatisfied,OO,Embraer ERJ-170,5694,F_CLASS
SENT_255,Satisfied,AA,Boeing 787 Dreamliner,11783,BUS
SENT_256,Satisfied,G4,Boeing 757,3349,ECO
SENT_257,Satisfied,B6,Airbus A321,670,ECO
SENT_258,Satisfied,AA,Boeing 717,6054,F_CLASS
SENT_259,Neutral,MQ,Embraer ERJ-170,19,ECO_P
SENT_260,Neutral,WN,Boeing 737,11959,F_CLASS
SENT_261,Dissatisfied,F9,Boeing 737,4735,ECO_P
SENT_262,Dissatisfied,9K,Embraer ERJ-190,12597,BUS
SENT_263,Neutral,EM,McDonnell Douglas DC-10,8460,BUS
SENT_264,Satisfied,B6,Airbus A321,7837,F_CLASS
SENT_265,Satisfied,B6,Embraer ERJ-190,11394,BUS
SENT_266,Satisfied,G4,McDonnell Douglas MD-80,7355,F_CLASS
SENT_267,Satisfied,ZW,British Aerospace BAe ATP,2598,ECO
SENT_268,Neutral,OH,Boeing 757,942,ECO_P
SENT_269,Satisfied,OO,Embraer EMB-120 Brasilia,333,ECO_P
SENT_270,Satisfied,OO,Embraer ERJ-170,1,F_CLASS
SENT_271,Neutral,EM,McDonnell Douglas DC-10,11194,ECO_P
SENT_272,Neutral,G4,Airbus A319,10166,ECO_P
SENT_273,Dissatisfied,EM,McDonnell Douglas DC-10,5881,ECO_P
SENT_274,Dissatisfied,MQ,Embraer ERJ-170,5860,ECO
SENT_275,Satisfied,OH,Airbus A300,1897,F_CLASS
SENT_276,Dissatisfied,C5,Boeing 737,267,ECO_P
SENT_277,Satisfied,F9,Airbus A319,10042,BUS
SENT_278,Dissatisfied,YX,Embraer ERJ-170,9062,ECO
SENT_279,Dissatisfied,YV,De Havilland Canada DHC-8 Dash 8,12013,ECO
SENT_280,Satisfied,OH,Boeing 757,7915,BUS
SENT_281,Dissatisfied,C5,Boeing 737,1906,ECO
SENT_282,Satisfied,AX,Boeing 767,339,ECO
SENT_283,Satisfied,C5,Airbus A321,9482,ECO
SENT_284,Satisfied,CP,Embraer ERJ-170,1106,ECO_P
SENT_285,Dissatisfied,WN,Boeing 737,7165,F_CLASS
SENT_286,Satisfied,9K,ATR 42/72,3965,BUS
SENT_287,Satisfied,EM,McDonnell Douglas MD-11,11300,ECO_P
SENT_288,Neutral,YX,De Havilland Canada DHC-8 Dash 8,9434,ECO
SENT_289,Neutral,ZW,Dornier Do-328,347,BUS
SENT_290,Dissatisfied,AA,British Aerospace BAe 146/Avro RJ,3122,BUS
SENT_291,Satisfied,YV,Embraer ERJ-145,10374,F_CLASS
SENT_292,Satisfied,VX,Airbus A319,8608,ECO_P
SENT_293,Neutral,NK,Airbus A319,13257,ECO_P
SENT_294,Neutral,EV,ATR 42/72,1015,F_CLASS
SENT_295,Neutral,YV,Canadair CRJ-100 Series,5596,F_CLASS
SENT_296,Neutral,EM,Antonov An-124,8155,ECO_P
SENT_297,Satisfied,B6,Embraer ERJ-190,251,BUS
SENT_298,Neutral,AS,McDonnell Douglas MD-80,13116,ECO_P
SENT_299,Satisfied,9K,Airbus A320,14117,F_CLASS
SENT_300,Satisfied,AS,McDonnell Douglas MD-80,9537,BUS
SENT_301,Satisfied,DL,Boeing 787 Dreamliner,1704,BUS
SENT_302,Satisfied,UA,Boeing 727,12303,ECO
SENT_303,Satisfied,OO,Mitsubishi MRJ90,41,F_CLASS
SENT_304,Neutral,9E,Canadair CRJ-100 Series,608,ECO
SENT_305,Satisfied,UA,Airbus A320,13991,ECO_P
SENT_306,Satisfied,G7,ATR 42/72,11613,BUS
SENT_307,Satisfied,KS,Fokker F70 / F100,10584,ECO_P
SENT_308,Satisfied,OH,Boeing 757,2775,BUS
SENT_309,Satisfied,AS,Canadair CRJ-700,3672,ECO
SENT_310,Satisfied,HA,McDonnell Douglas MD-80,9275,ECO_P
SENT_311,Neutral,AX,Boeing 767,67,ECO
SENT_312,Satisfied,B6,Airbus A321,2841,BUS
SENT_313,Dissatisfied,AX,Boeing 767,14872,BUS
SENT_314,Satisfied,DL,Boeing 757,14331,BUS
SENT_315,Satisfied,PT,Boeing 737,5477,F_CLASS
SENT_316,Satisfied,EV,ATR 42/72,10988,F_CLASS
SENT_317,Satisfied,9K,Airbus A320,13106,BUS
SENT_318,Dissatisfied,ZW,British Aerospace BAe ATP,14270,F_CLASS
SENT_319,Dissatisfied,WN,Boeing 737,5741,BUS
SENT_320,Neutral,UA,Boeing 767,14667,ECO_P
SENT_321,Neutral,EV,ATR 42/72,13855,F_CLASS
SENT_322,Neutral,PT,Boeing 737,2351,F_CLASS
SENT_323,Satisfied,UA,Airbus A350,7633,BUS
SENT_324,Satisfied,MQ,Embraer ERJ-170,13882,F_CLASS
SENT_325,Neutral,CP,Embraer ERJ-170,993,F_CLASS
SENT_326,Satisfied,F9,Airbus A318,7073,ECO_P
SENT_327,Neutral,DL,McDonnell Douglas DC-9,12803,BUS
SENT_328,Satisfied,YV,Embraer ERJ-145,8800,F_CLASS
SENT_329,Neutral,CP,Embraer ERJ-170,13038,BUS
SENT_330,Dissatisfied,F9,Airbus A320,8735,F_CLASS
SENT_331,Neutral,CP,Canadair CRJ-100 Series,2508,BUS
SENT_332,Satisfied,YV,Embraer ERJ-170,8742,ECO_P
SENT_333,Satisfied,CP,Embraer ERJ-170,12494,BUS
SENT_334,Dissatisfied,DL,Bombardier CS100,3176,F_CLASS
SENT_335,Neutral,C5,Boeing 737,481,F_CLASS
SENT_336,Neutral,EM,Tupolev Tu-204,9504,ECO
SENT_337,Neutral,G4,Airbus A319,9711,ECO_P
SENT_338,Dissatisfied,EM,Tupolev Tu-204,9837,F_CLASS
SENT_339,Dissatisfied,PT,Boeing 737,7614,BUS
SENT_340,Neutral,HA,McDonnell Douglas DC-9,1440,BUS
SENT_341,Dissatisfied,AX,Boeing 767,4166,ECO_P
SENT_342,Neutral,UA,Boeing 727,690,ECO
SENT_343,Neutral,F9,De Havilland Canada DHC-8 Dash 8,1852,ECO_P
SENT_344,Dissatisfied,YX,De Havilland Canada DHC-8 Dash 8,4077,BUS
SENT_345,Dissatisfied,VX,Airbus A321,4830,F_CLASS
SENT_346,Neutral,NK,McDonnell Douglas MD-80,9348,F_CLASS
SENT_347,Dissatisfied,9K,Airbus A350 XWB,3255,F_CLASS
SENT_348,Dissatisfied,EM,McDonnell Douglas MD-11,13553,F_CLASS
SENT_349,Neutral,9E,Canadair CRJ-900,8632,ECO_P
SENT_350,Satisfied,G4,McDonnell Douglas MD-80,12173,ECO
SENT_351,Neutral,MQ,Embraer ERJ-170,12568,ECO_P
SENT_352,Neutral,KS,Airbus A319,857,ECO
SENT_353,Neutral,QX,De Havilland Canada DHC-8 Dash 8,4246,ECO
SENT_354,Dissatisfied,KS,Airbus A319,3861,BUS
SENT_355,Dissatisfied,UA,Boeing 737,14466,ECO
SENT_356,Satisfied,9E,Canadair CRJ-900,14981,ECO_P
SENT_357,Satisfied,G4,Airbus A320,1956,ECO
SENT_358,Dissatisfied,B6,Airbus A320,12781,ECO
SENT_359,Satisfied,ZW,British Aerospace BAe ATP,822,ECO
SENT_360,Dissatisfied,OH,Airbus A300,8871,ECO_P
SENT_361,Satisfied,QX,Embraer E175,5458,ECO_P
SENT_362,Satisfied,OH,Boeing 757,12911,BUS
SENT_363,Satisfied,C5,Airbus A321,4444,ECO
SENT_364,Dissatisfied,OO,Canadair CRJ-900,10500,BUS
SENT_365,Satisfied,VX,Airbus A321,8854,BUS
SENT_366,Satisfied,F9,Airbus A319,13087,F_CLASS
SENT_367,Satisfied,AS,Canadair CRJ-700,11013,F_CLASS
SENT_368,Satisfied,VX,Airbus A319,2586,BUS
SENT_369,Satisfied,MQ,Embraer ERJ-170,13269,F_CLASS
SENT_370,Satisfied,CP,Canadair CRJ-100 Series,13640,ECO
SENT_371,Satisfied,PT,Boeing 737,1012,BUS
SENT_372,Satisfied,G7,Embraer EMB-120 Brasilia,10437,ECO_P
SENT_373,Satisfied,9K,Airbus A330,7196,ECO_P
SENT_374,Satisfied,AX,Boeing 767,12744,ECO_P
SENT_375,Satisfied,B6,Embraer ERJ-190,9962,ECO
SENT_376,Satisfied,G7,Embraer EMB-120 Brasilia,6088,ECO
SENT_377,Satisfied,G7,Embraer ERJ-145,6232,F_CLASS
SENT_378,Satisfied,MQ,Embraer ERJ-170,7214,F_CLASS
SENT_379,Satisfied,9E,Canadair CRJ-900,8186,ECO
SENT_380,Satisfied,KS,Airbus A319,1469,F_CLASS
SENT_381,Satisfied,OO,Embraer E175-E2,1439,BUS
SENT_382,Satisfied,UA,McDonnell Douglas DC-10,4768,ECO_P
SENT_383,Satisfied,EV,ATR 42/72,356,ECO_P
SENT_384,Satisfied,B6,Embraer ERJ-190,2955,F_CLASS
SENT_385,Satisfied,B6,Airbus A320,13148,ECO_P
SENT_386,Satisfied,9E,Canadair CRJ-900,1107,ECO_P
SENT_387,Satisfied,UA,Boeing 777,11923,F_CLASS
SENT_388,Satisfied,AA,Fokker F70 / F100,11070,ECO
SENT_389,Dissatisfied,G4,McDonnell Douglas DC-9,14449,F_CLASS
SENT_390,Satisfied,QX,Canadair CRJ-700,14777,ECO
SENT_391,Satisfied,YX,Embraer ERJ-170,451,F_CLASS
SENT_392,Satisfied,EM,McDonnell Douglas MD-11,11094,BUS
SENT_393,Satisfied,C5,Airbus A321,3107,BUS
SENT_394,Satisfied,ZW,De Havilland Canada DHC-8 Dash 8,6235,F_CLASS
SENT_395,Satisfied,OO,Canadair CRJ-900,2735,BUS
SENT_396,Dissatisfied,WN,Boeing 737,14531,BUS
SENT_397,Neutral,C5,Airbus A321,10797,ECO
SENT_398,Satisfied,OO,Canadair CRJ-900,547,BUS
SENT_399,Satisfied,AX,Boeing 767,11223,BUS
SENT_400,Satisfied,MQ,Embraer ERJ-170,3759,F_CLASS
SENT_401,Satisfied,CP,Canadair CRJ-100 Series,2990,F_CLASS
SENT_402,Satisfied,AX,Boeing 767,7797,F_CLASS
SENT_403,Satisfied,F9,De Havilland Canada DHC-8 Dash 8,7682,ECO_P
SENT_404,Dissatisfied,WN,Boeing 737,2835,F_CLASS
SENT_405,Dissatisfied,UA,McDonnell Douglas DC-8,10942,BUS
SENT_406,Dissatisfied,9E,Canadair CRJ-900,12053,ECO_P
SENT_407,Dissatisfied,NK,McDonnell Douglas DC-9,2547,F_CLASS
SENT_408,Dissatisfied,F9,Boeing 737,4766,F_CLASS
SENT_409,Dissatisfied,CP,Embraer ERJ-170,3306,BUS
SENT_410,Neutral,UA,Boeing 767,2500,ECO_P
SENT_411,Satisfied,YX,De Havilland Canada DHC-8 Dash 8,2824,BUS
SENT_412,Neutral,YX,Embraer ERJ-170,2570,F_CLASS
SENT_413,Dissatisfied,B6,Embraer ERJ-190,5185,F_CLASS
