booking_id,customer_id,flight_id,origin_airport,dest_airport,NumTicketsOrdered,PricePerTicket
5142,F_CLASS,1736,PHL,ORD,1,79
5184,F_CLASS,2231,PHL,ORD,1,218
5227,ECO_P,1516,PHL,ORD,4,297
5269,ECO,290,PHL,ORD,1,349
5312,ECO,1998,PHL,ORD,1,502
5354,ECO,958,PHL,ORD,1,749
5397,BUS,1409,PHL,ORD,1,114.18
5439,ECO,2572,PHL,ORD,1,270.45
5482,F_CLASS,1752,DEN,PHL,1,214.95
5524,ECO,2736,PHL,ORD,1,260.58
5567,ECO_P,1727,PHL,ORD,1,304
5609,ECO,3786,LAX,PHL,1,311.2
5652,F_CLASS,4763,MCI,PHL,1,250.32
5694,ECO,1873,PBI,PHL,1,232.52
5737,BUS,6072,PHL,ORD,1,156
5779,BUS,2378,PHL,ORD,1,174.5
5822,BUS,18,ORD,PHL,2,188.5
5864,ECO,1260,ORD,PHL,7,199
5907,F_CLASS,5496,PHL,ORD,2,216
5949,BUS,4320,PHL,ORD,10,228.5
5992,BUS,3691,ORD,PHL,9,246
6034,F_CLASS,1133,ORD,PHL,3,256.5
6077,ECO,568,PHL,ORD,4,271
6119,BUS,5071,PHL,ORD,2,286
6162,F_CLASS,6041,ORD,PHL,7,296.5
6204,F_CLASS,5212,ORD,PHL,2,307
6247,F_CLASS,5723,PHL,ORD,2,322
6289,ECO,4654,PHL,ORD,4,335.5
6332,BUS,2001,ORD,PHL,1,354
6374,ECO_P,1422,ORD,PHL,5,383
6417,F_CLASS,1664,PHL,ORD,1,422
6459,F_CLASS,80,PHL,DFW,1,302.56
6502,F_CLASS,3326,SAN,PHL,1,371.07
6544,ECO_P,1283,SEA,PHL,1,252.39
6587,BUS,5342,SLC,PHL,1,166.96
6629,ECO_P,672,PHL,PBI,1,124
6672,ECO_P,5506,PHL,PBI,17,264
6714,F_CLASS,3981,PHL,PBI,1,395
6757,ECO,4914,PHL,PBI,1,140.02
6799,BUS,2047,FLL,PHL,1,162.87
6842,BUS,816,PBI,PHL,5,54
6884,ECO,4906,PBI,PHL,11,105
6927,ECO,4557,PHL,PBI,2,128
6969,ECO_P,6061,PHL,PBI,3,151
7012,ECO_P,4730,PBI,PHL,1,172
7054,ECO_P,1881,PBI,PHL,1,194
7097,F_CLASS,2251,PHL,PBI,3,213.5
7139,ECO,1214,PHL,PBI,1,232
7182,ECO_P,4074,PBI,PHL,2,252.5
7224,ECO,5980,PBI,PHL,1,275
7267,F_CLASS,4925,PHL,PBI,1,313
7309,F_CLASS,2017,PHL,PBI,4,361.5
7352,BUS,4531,PBI,PHL,1,412.5
7394,F_CLASS,3481,PBI,PHL,1,522.5
7437,BUS,2045,PHL,PDX,1,576
7479,F_CLASS,1521,PHL,PHX,2,283
7522,ECO_P,2775,PHL,PHX,1,431
7564,F_CLASS,3812,PHL,PHX,1,662
7607,ECO_P,1185,PHL,PHX,1,242.04
7649,BUS,640,LAX,PHL,1,345.7
7692,ECO_P,5089,LAS,PHL,6,381.98
7734,ECO_P,117,PHL,PHX,1,170.73
7777,F_CLASS,6028,PHX,PHL,1,172.5
7819,ECO,1632,PHX,PHL,3,199.5
7862,F_CLASS,3306,PHL,PHX,2,228
7904,BUS,1991,PHL,PHX,1,246.5
7947,ECO_P,1923,PHX,PHL,1,268
7989,F_CLASS,5733,PHX,PHL,2,291
8032,ECO,3684,PHL,PHX,16,323
8074,ECO_P,3423,PHL,PHX,1,360.5
8117,ECO,2228,PHX,PHL,1,415.5
8159,ECO_P,7391,PHX,PHL,1,494.5
8202,ECO_P,6153,PHL,PHX,1,592.5
8244,F_CLASS,6081,PHL,PHX,2,652
8287,ECO_P,3212,PHL,PHX,1,362.97
8329,F_CLASS,4695,SAN,PHL,1,297.93
8372,ECO,3483,SFO,PHL,1,405.51
8414,F_CLASS,3377,PHL,PIT,1,282
8457,BUS,4749,PHL,PIT,1,593
8499,ECO,2549,PHL,PIT,1,126
8542,ECO,728,PHL,PIT,1,171
8584,ECO,6180,PIT,PHL,1,243.5
8627,F_CLASS,2999,PIT,PHL,2,301
8669,ECO,5846,PIT,PHL,4,331
8712,BUS,6141,PIT,PHL,1,388
8754,ECO,2011,PHL,PVD,1,335
8797,BUS,2783,PVD,PHL,2,126
8839,ECO,1414,PHL,PVD,1,216
8882,ECO,1623,PHL,PVD,1,290.5
8924,ECO_P,4799,PHL,RDU,1,109
8967,ECO_P,2733,PHL,RDU,1,233
9009,F_CLASS,3422,PHL,RDU,1,347
9052,ECO_P,693,MIA,PHL,1,211.16
9094,BUS,4694,PHL,RDU,1,109
9137,ECO,1308,PHL,RDU,1,126.5
9179,ECO,3330,PHL,RDU,2,141.5
9222,F_CLASS,4556,RDU,PHL,4,155.5
9264,ECO,2874,RDU,PHL,1,168.5
9307,ECO_P,3686,RDU,PHL,1,185.5
9349,F_CLASS,878,PHL,RDU,1,197
9392,BUS,1997,PHL,RDU,1,214
9434,ECO_P,4032,PHL,RDU,1,236.5
9477,BUS,4230,PHL,RDU,1,255
9519,ECO_P,1397,PHL,RDU,1,274.5
9562,ECO,1310,PHL,RDU,1,304.5
9604,ECO,3262,PHL,BOS,1,118.28
9647,F_CLASS,2257,PHL,RSW,1,238
9689,ECO,2236,PHL,RSW,4,377
9732,BUS,5454,PHL,RSW,5,764
9774,ECO_P,2404,PHL,RSW,1,385.14
9817,BUS,4777,PHL,RSW,16,51
9859,ECO_P,6076,PHL,RSW,4,91.5
9902,ECO_P,1868,RSW,PHL,1,121
9944,ECO,437,RSW,PHL,1,149
9987,ECO_P,645,PHL,RSW,3,164
10029,F_CLASS,6244,PHL,RSW,1,178
10072,ECO_P,5117,RSW,PHL,1,195
10114,ECO,5237,RSW,PHL,3,210.5
10157,ECO_P,9374,PHL,RSW,5,230.5
10199,F_CLASS,4932,PHL,RSW,1,252.5
10242,ECO,3759,RSW,PHL,1,270.5
10284,F_CLASS,1115,RSW,PHL,1,287
10327,ECO,175,PHL,RSW,2,311.5
10369,ECO,785,PHL,RSW,1,344.5
10412,F_CLASS,6397,RSW,PHL,5,377
10454,ECO_P,1195,RSW,PHL,1,421.5
10497,BUS,2818,PHL,RSW,1,510
10539,BUS,4368,PHL,RSW,3,714
10582,F_CLASS,2182,PHL,SAN,1,206
10624,ECO_P,1896,PHL,SAN,1,658
10667,ECO_P,6885,PHL,SAN,1,371.35
10709,F_CLASS,2819,LAX,PHL,1,619.08
10752,BUS,5920,PHL,SAN,5,182
10794,F_CLASS,5338,PHL,SAN,2,209
10837,ECO,7410,SAN,PHL,8,228
10879,BUS,3501,SAN,PHL,3,248
10922,BUS,5701,PHL,SAN,4,276.5
10964,BUS,1438,PHL,SAN,5,319
11007,ECO,1108,SAN,PHL,1,397
11049,ECO_P,1191,SAN,PHL,1,537
11092,F_CLASS,6142,PHL,SAN,1,687
11134,BUS,3711,PHL,SAN,1,226.07
11177,ECO_P,4850,PHL,SAT,1,255
11219,F_CLASS,840,PHL,SAT,1,265.74
11262,ECO,5530,PHL,SAT,1,158
11304,ECO,1831,PHL,SAT,1,216
11347,BUS,3379,SAT,PHL,1,350
11389,ECO_P,2114,PHL,SEA,9,318
11432,F_CLASS,2405,PHL,SEA,1,238.8
11474,ECO,6984,PHL,SEA,2,317.1
11517,BUS,4939,PHL,SEA,1,190.5
11559,F_CLASS,3699,PHL,SEA,2,224
11602,ECO_P,5272,SEA,PHL,1,303.5
11644,ECO_P,3222,SEA,PHL,5,403
11687,F_CLASS,777,PHL,SFO,1,119
11729,ECO,4223,PHL,SFO,1,251
11772,F_CLASS,3756,PHL,SFO,1,485
11814,F_CLASS,614,PHL,SFO,1,629
11857,ECO,1446,PHL,SFO,1,919.16
11899,BUS,1391,PHL,SFO,1,248.27
11942,ECO_P,1938,SFO,PHL,1,108
11984,BUS,5292,SFO,PHL,1,170
12027,ECO_P,655,PHL,SFO,1,193.5
12069,ECO,4761,PHL,SFO,1,213
12112,ECO,2251,SFO,PHL,2,235.5
12154,BUS,5309,SFO,PHL,1,252
12197,F_CLASS,1119,PHL,SFO,1,281
12239,ECO,1944,PHL,SFO,1,306.5
12282,ECO,4598,SFO,PHL,1,332
12324,F_CLASS,2281,SFO,PHL,1,359.5
12367,F_CLASS,3997,PHL,SFO,3,388.5
12409,ECO,3683,PHL,SFO,1,425
12452,F_CLASS,2694,SFO,PHL,1,478
12494,ECO,5562,SFO,PHL,1,520.5
12537,ECO,4818,PHL,SFO,1,568.5
12579,BUS,6749,PHL,SFO,2,658
12622,ECO_P,2523,SFO,PHL,1,725
12664,ECO_P,4128,SFO,PHL,1,892.5
12707,ECO_P,176,PHL,SFO,1,380.55
12749,BUS,5619,PHL,SJU,1,314
12792,BUS,5119,PHL,SJU,1,230.55
12834,ECO,271,SJU,PHL,1,200
12877,ECO_P,2567,PHL,SJU,1,232.5
12919,F_CLASS,760,PHL,SJU,1,275.5
12962,BUS,1525,SJU,PHL,1,330
13004,ECO_P,7379,SJU,PHL,1,391.5
13047,ECO,2148,PHL,SJU,1,472
13089,BUS,5888,PHL,SLC,1,290
13132,BUS,7416,PHL,SLC,1,164.43
13174,ECO_P,6153,PHL,SLC,1,301.42
13217,F_CLASS,2378,PHL,SLC,1,181
13259,BUS,5756,PHL,SLC,7,208
13302,BUS,4090,SLC,PHL,1,243
13344,ECO,4305,SLC,PHL,1,347.5
13387,F_CLASS,5955,PHX,PHL,1,260.93
13429,F_CLASS,3291,STL,PHL,1,164
13472,ECO_P,3289,PHL,STL,1,239
13514,ECO,5346,PHL,TPA,3,64
13557,BUS,637,PHL,TPA,2,147
13599,F_CLASS,5340,PHL,TPA,1,265
13642,ECO_P,2917,PHL,TPA,1,444
13684,BUS,2868,PHL,TPA,2,101.02
13727,BUS,6082,PHL,TPA,1,283.45
13769,BUS,2668,PHL,TPA,1,170.47
13812,BUS,5009,PHL,TPA,1,342.38
13854,BUS,3088,PHL,TPA,4,69.5
13897,ECO,1879,TPA,PHL,5,81
13939,ECO_P,1690,TPA,PHL,2,97.5
13982,ECO,6022,PHL,TPA,18,111
14024,ECO,3410,PHL,TPA,1,125.5
14067,ECO_P,4583,TPA,PHL,1,140
14109,ECO,3127,TPA,PHL,13,157
14152,ECO,766,PHL,TPA,4,173
14194,ECO_P,5637,PHL,TPA,1,188
14237,ECO,3353,TPA,PHL,1,200.5
14279,ECO,4207,TPA,PHL,1,217.5
14322,ECO,1107,PHL,TPA,3,236.5
14364,ECO_P,5801,PHL,TPA,3,259.5
14407,ECO,5881,TPA,PHL,2,279
14449,ECO_P,4270,TPA,PHL,1,299.5
14492,ECO,720,PHL,TPA,13,350.5
14534,F_CLASS,534,PHL,TPA,4,414
14577,ECO_P,5750,TPA,PHL,1,821
14619,BUS,5057,PHX,ABQ,3,74.5
14662,BUS,5121,PHX,ABQ,2,159
14704,ECO,1233,PHX,ATL,1,186
14747,ECO,1311,PHX,ATL,4,569
14789,F_CLASS,477,PHX,ATL,1,190.46
14832,ECO_P,465,PHX,ATL,11,157
14874,BUS,4636,PHX,ATL,4,183.5
14917,F_CLASS,804,ATL,PHX,2,204
14959,BUS,373,ATL,PHX,1,238.5
15002,F_CLASS,3641,PHX,ATL,1,279.5
15044,BUS,5946,PHX,ATL,1,343.5
15087,ECO,22,ATL,PHX,2,504
15129,BUS,3089,PHX,AUS,2,202
15172,ECO_P,4044,PHX,AUS,1,475
15214,ECO,5511,AUS,PHX,2,91
15257,F_CLASS,3704,PHX,AUS,1,123
15299,ECO,2993,PHX,AUS,2,151
15342,ECO_P,5295,AUS,PHX,3,182
15384,BUS,2853,AUS,PHX,1,238
15427,ECO,7398,PHX,AUS,2,355.5
15469,ECO_P,6011,BOI,PHX,1,61.5
15512,ECO_P,2424,PHX,BOI,1,243
15554,F_CLASS,661,PHX,BOS,1,203
15597,BUS,5083,PHX,BOS,1,320
15639,ECO_P,2639,PHX,BOS,1,405
15682,ECO,6262,PHX,BOS,1,536
15724,ECO,826,PHX,BOS,1,780
15767,ECO_P,189,PHX,BOS,1,133.72
15809,ECO,235,BOS,PHX,4,161.5
15852,F_CLASS,5598,PHX,BOS,9,185.5
15894,ECO_P,4419,PHX,BOS,1,207.5
15937,F_CLASS,4925,BOS,PHX,1,229.5
15979,BUS,3931,BOS,PHX,2,255.5
16022,BUS,3431,PHX,BOS,2,285.5
16064,F_CLASS,4291,PHX,BOS,1,322
16107,F_CLASS,72,BOS,PHX,2,368
16149,ECO,3181,BOS,PHX,1,763.5
16192,BUS,5545,PHX,BWI,1,228
16234,BUS,4359,PHX,BWI,1,588
16277,ECO,2300,PHX,BWI,2,74
16319,F_CLASS,6037,PHX,BWI,6,198.5
16362,ECO,1801,BWI,PHX,1,244
16404,ECO_P,5882,BWI,PHX,1,330.5
16447,ECO,2056,PHX,BWI,1,576.5
16489,BUS,3815,PHX,CLT,1,311
16532,F_CLASS,4203,PHX,CLT,1,679
16574,BUS,5619,PHX,CLT,1,213.58
16617,ECO_P,3415,BOS,PHX,1,250.55
16659,ECO_P,40,DCA,PHX,2,202.12
16702,ECO,6182,EWR,PHX,1,449.69
16744,ECO,2511,JAX,PHX,1,283.5
16787,ECO,2779,MCO,PHX,1,201.17
16829,ECO_P,81,PHX,CLT,1,173
16872,ECO,1145,CLT,PHX,1,230
16914,BUS,2231,CLT,PHX,3,278
16957,BUS,2030,PHX,CLT,1,345
16999,ECO_P,5684,PHX,CLT,1,429.5
17042,BUS,2042,CLT,PHX,1,508
17084,BUS,5355,CLT,PHX,1,596
17127,ECO_P,5205,PHL,PHX,1,220.38
17169,F_CLASS,2868,PHX,CLT,1,164.41
17212,BUS,3529,PHX,CMH,1,474
17254,F_CLASS,393,PHX,CMH,1,165
17297,BUS,28,CMH,PHX,5,212
17339,ECO_P,4271,CMH,PHX,1,266
17382,ECO,3831,PHX,CMH,6,445.5
17424,F_CLASS,718,PHX,DCA,11,211
17467,F_CLASS,5609,PHX,DCA,1,518
17509,F_CLASS,4046,BOS,DCA,1,71.98
17552,ECO,3349,PHX,DCA,1,215.1
17594,ECO,2529,PHX,DCA,1,187
17637,ECO_P,1550,DCA,PHX,12,217
17679,F_CLASS,990,DCA,PHX,1,234.5
17722,F_CLASS,5170,PHX,DCA,1,258.5
17764,F_CLASS,3853,PHX,DCA,1,281.5
17807,F_CLASS,3188,DCA,PHX,7,299.5
17849,ECO_P,5898,DCA,PHX,1,320
17892,BUS,2763,PHX,DCA,2,343
17934,BUS,1602,PHX,DCA,1,370
17977,ECO,650,DCA,PHX,1,410
18019,F_CLASS,2128,DCA,PHX,1,486.5
18062,F_CLASS,2265,PHX,DCA,1,654
18104,BUS,764,PHX,DEN,1,85
18147,BUS,2215,PHX,DEN,3,193
18189,F_CLASS,2059,PHX,DEN,1,374
18232,ECO_P,795,MIA,PHX,1,194.76
18274,ECO_P,2239,PHX,DEN,4,66
18317,BUS,2413,DEN,PHX,13,81.5
18359,ECO,1979,DEN,PHX,2,93
18402,ECO,7413,PHX,DEN,1,106
18444,F_CLASS,269,PHX,DEN,6,120.5
18487,BUS,2092,DEN,PHX,1,137
18529,ECO_P,4632,DEN,PHX,1,151
18572,ECO,2145,PHX,DEN,2,174
18614,BUS,7421,PHX,DEN,1,204
18657,ECO_P,4605,DEN,PHX,1,233
18699,F_CLASS,2988,DEN,PHX,4,269
18742,ECO,5141,PHX,DEN,1,103.48
18784,ECO,6102,PHX,DFW,2,171
18827,BUS,4042,PHX,DFW,1,301
18869,ECO,4265,PHX,DFW,1,410
18912,ECO,5706,PHX,DFW,1,634
18954,ECO,5597,AUS,PHX,1,185.93
18997,ECO,3910,PHX,DFW,2,108.8
19039,BUS,4498,PHX,DFW,1,245.81
19082,F_CLASS,6035,CLT,PHX,1,196.4
19124,F_CLASS,1458,PHX,JAX,1,344
19167,ECO_P,5305,MCO,PHX,1,240.74
19209,ECO,17,ORD,PHX,1,124.55
19252,ECO,599,PHX,DFW,3,77
19294,ECO_P,6433,DFW,PHX,1,108.5
19337,ECO,1220,PHX,DFW,1,135.5
19379,F_CLASS,5131,DFW,PHX,8,150
19422,F_CLASS,6229,PHX,DFW,1,166.5
19464,ECO_P,3730,PHX,DFW,20,183
19507,ECO_P,757,PHX,DFW,8,199.5
19549,BUS,2210,PHX,DFW,2,215
19592,ECO_P,1085,PHX,DFW,2,229
19634,ECO_P,4691,PHX,DFW,3,243
19677,ECO,2298,DFW,PHX,5,259
19719,BUS,5357,PHX,DFW,1,273.5
19762,BUS,1330,PHX,DFW,1,298.5
19804,BUS,3466,DFW,PHX,1,315.5
19847,ECO_P,3700,PHX,DFW,1,336.5
19889,F_CLASS,2429,DFW,PHX,1,353
19932,ECO,494,DFW,PHX,2,388.5
19974,ECO_P,225,PHX,DFW,1,520
20017,ECO_P,2624,PHX,DFW,1,317.76
20059,ECO,5814,TPA,PHX,1,562.58
20102,F_CLASS,3036,PHX,DSM,2,261
20144,BUS,3344,PHX,DSM,1,178.03
20187,BUS,6146,PHX,DSM,2,132
20229,BUS,2482,PHX,DSM,1,163
20272,ECO_P,6281,DSM,PHX,2,207.5
20314,BUS,5389,DSM,PHX,1,255
20357,ECO_P,5068,PHX,DSM,1,324
20399,ECO_P,3411,PHX,DTW,2,98
20442,F_CLASS,148,PHX,DTW,2,264
20484,ECO_P,5260,PHX,DTW,1,468
20527,ECO,7387,PHX,DTW,1,430.98
20569,BUS,4990,DTW,PHX,10,149
20612,F_CLASS,4153,PHX,DTW,9,176
20654,F_CLASS,4406,PHX,DTW,2,203.5
20697,BUS,5618,DTW,PHX,2,256
20739,BUS,2808,DTW,PHX,1,296
20782,F_CLASS,1079,PHX,DTW,3,369
20824,ECO_P,2747,PHX,DTW,1,503
20867,BUS,493,PHX,EWR,2,147
20909,ECO,4879,PHX,EWR,2,236
20952,F_CLASS,4561,PHX,EWR,2,338
20994,F_CLASS,247,PHX,EWR,1,452
21037,ECO_P,3357,PHX,EWR,1,722
21079,ECO,3053,PHX,EWR,1,352.65
21122,F_CLASS,3396,EWR,PHX,1,118
21164,F_CLASS,1239,EWR,PHX,1,165
21207,ECO,6100,PHX,EWR,2,193
21249,BUS,4289,PHX,EWR,6,212
21292,ECO,2453,EWR,PHX,1,237.5
21334,F_CLASS,1016,EWR,PHX,7,258
21377,ECO_P,381,PHX,EWR,2,287.5
21419,BUS,3593,PHX,EWR,2,312.5
21462,ECO_P,6040,EWR,PHX,1,357.5
21504,ECO_P,6330,EWR,PHX,1,479
21547,F_CLASS,4726,PHX,FAT,1,522
21589,ECO,5574,PHX,FAT,1,190
21632,BUS,4939,PHX,FLL,1,170.85
21674,ECO,403,PHX,GEG,1,333
21717,ECO,1800,PHX,GEG,3,126
21759,ECO,69,PHX,GEG,2,191
21802,F_CLASS,6070,PHX,GEG,1,346
21844,BUS,3444,PHX,HNL,9,333
21887,ECO_P,5105,PHX,HNL,1,322.72
21929,BUS,3081,LIH,PHX,1,352.67
21972,ECO,1251,PHX,HNL,5,234.5
22014,ECO_P,5633,PHX,HNL,1,265
22057,BUS,2391,HNL,PHX,3,292
22099,BUS,2378,HNL,PHX,1,326
22142,ECO,1137,PHX,HNL,1,359
22184,ECO_P,1261,PHX,HNL,1,419
22227,F_CLASS,116,HNL,PHX,1,536.5
22269,F_CLASS,739,HNL,PHX,1,892.5
22312,ECO,6565,PHX,IND,1,121
22354,ECO_P,3514,PHX,IND,1,451
22397,BUS,2692,IND,PHX,2,74
22439,ECO,1773,IND,PHX,1,162.5
22482,ECO_P,2107,PHX,IND,1,210
22524,ECO,2959,PHX,IND,1,282
22567,F_CLASS,85,IND,PHX,1,374.5
22609,BUS,5019,PHX,JFK,2,169
22652,F_CLASS,3268,PHX,JFK,2,302
22694,ECO_P,5756,PHX,JFK,1,419
22737,F_CLASS,1076,PHX,JFK,1,716
22779,BUS,522,PHX,JFK,1,251.8
22822,ECO,4754,JFK,PHX,1,113
22864,F_CLASS,1744,JFK,PHX,2,165
22907,ECO_P,5620,PHX,JFK,2,187
22949,ECO_P,415,PHX,JFK,2,211
22992,F_CLASS,1258,JFK,PHX,1,240.5
23034,ECO_P,3337,JFK,PHX,1,274.5
23077,F_CLASS,6033,PHX,JFK,1,313
23119,BUS,5514,PHX,JFK,2,405
23162,F_CLASS,5632,JFK,PHX,1,692
23204,F_CLASS,6276,PHX,KOA,1,631
23247,F_CLASS,5548,PHX,KOA,1,227
23289,ECO,126,PHX,KOA,1,270
23332,ECO_P,2013,KOA,PHX,7,308.5
23374,ECO,3098,KOA,PHX,1,344
23417,ECO_P,5274,PHX,KOA,1,404.5
23459,F_CLASS,4387,PHX,KOA,1,502
23502,ECO_P,5988,KOA,PHX,2,963
23544,ECO,792,PHX,LAS,1,100
23587,ECO,3287,PHX,LAS,1,218
23629,ECO,2434,PHX,LAS,1,766
23672,ECO,6282,PHX,LAS,4,64
23714,BUS,4159,PHX,LAS,2,78.5
23757,ECO_P,92,LAS,PHX,12,91
23799,BUS,857,LAS,PHX,8,104.5
23842,ECO,1878,PHX,LAS,1,119
23884,BUS,4361,PHX,LAS,5,132.5
23927,ECO,3438,LAS,PHX,1,149
23969,F_CLASS,6053,LAS,PHX,1,174
24012,ECO,111,PHX,LAS,1,196.5
24054,ECO_P,2313,PHX,LAS,1,219.5
24097,F_CLASS,2887,LAS,PHX,1,250
24139,F_CLASS,486,LAS,PHX,1,277.5
24182,F_CLASS,812,PHX,LAS,1,352.5
24224,BUS,6417,SNA,PHX,1,940.47
24267,ECO_P,2534,PHX,LAX,1,114
24309,F_CLASS,3767,PHX,LAX,1,189
24352,BUS,5362,PHX,LAX,1,287
24394,F_CLASS,4605,PHX,LAX,1,568
24437,F_CLASS,6390,LIH,PHX,1,294.2
24479,F_CLASS,3646,PHX,LAX,1,60.5
24522,BUS,4805,LAX,PHX,2,78
24564,ECO,314,LAX,PHX,2,91
24607,ECO,4535,PHX,LAX,14,102
24649,BUS,3519,PHX,LAX,1,111.5
24692,ECO,6438,LAX,PHX,8,123
24734,BUS,4351,LAX,PHX,3,138
24777,F_CLASS,1011,LAX,PHX,3,154
